TIG_MyParcel2014::Enabled,Geactiveerd
TIG_MyParcel2014::Title,Titel
TIG_MyParcel2014::Method Name,Methode naam
TIG_MyParcel2014::Rate Type,Tarief type
TIG_MyParcel2014::Type,Type
TIG_MyParcel2014::Price,Prijs
TIG_MyParcel2014::Pakjegemak active,Pakjegemak actief
TIG_MyParcel2014::Pakjegemak fee,Pakjegemak afhandelingskosten
TIG_MyParcel2014::Condition,Voorwaarde
TIG_MyParcel2014::Calculate Handling Fee,Verzendkosten berekeningswijze
TIG_MyParcel2014::Handling Fee,Afhandelingskosten
TIG_MyParcel2014::Ship to Applicable Countries,Verzend naar beschikbare landen
TIG_MyParcel2014::Ship to Specific Countries,Verzend naar specifieke landen
TIG_MyParcel2014::Sort Order,Sorteer bestelling
TIG_MyParcel2014::Default Shipment Settings,Standaard verzend instellingen
TIG_MyParcel2014::Home address only,Alleen huisadres
TIG_MyParcel2014::Signature on receipt,Handtekening bij ontvangst
TIG_MyParcel2014::Return if no answer,Retour bij niet aanwezig
TIG_MyParcel2014::Insured up to &euro; 50,Verzekerd tot &euro; 50
TIG_MyParcel2014::For NL shipping only,Alleen voor Nederlandse verzendingen
TIG_MyParcel2014::Insured up to &euro; 250,Verzekerd tot &euro; 250
"TIG_MyParcel2014::For NL shipping only, shipments outside the EU insured default is &euro; 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
TIG_MyParcel2014::Insured up to &euro; 500,Verzekerd tot &euro; 500
"TIG_MyParcel2014::For NL shipping only, shipments inside the EU insured default is &euro; 500","Alleen voor Nederlandse verzendingen, zendingen naar landen binnen de EU zijn standaard verzekerd tot &euro; 500"
TIG_MyParcel2014::Customs Shipment Type,Douane verzend type
TIG_MyParcel2014::Customs Content HS Code,Douane goederen HS code
"TIG_MyParcel2014::Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Standaard goederen type voor Cross Domestic producten, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>"
"TIG_MyParcel2014::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Vul hier uw voorkeuren in voor een verzending. Dit is later per zending uiteraard nog per zending aan te passen. De verzekeringsopties worden actief op basis van het order totaal bedrag. <br/> Indien u zendingen naar landen buiten de EU verstuurt, kunt u optioneel voor deze zendingen een standaard waarde invullen bij het Douane verzendtype en de Douane goederen HS code."
TIG_MyParcel2014::Retourlink e-mail Template,Retourlink e-mail Template
TIG_MyParcel2014::PLACEHOLDER,PLACEHOLDER
TIG_MyParcel2014::Track&amp;Trace email template,Track&amp;Trace e-mail Template
"TIG_MyParcel2014::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","U kunt een nieuwe transactionele email aanmaken en daarin {{var tracktrace_url}} en {{var retourlabel_url}} gebruiken. Zie voor details de <a target=""_blank"" href=""http://kb.totalinternetgroup.nl/topic/98526863"">KB</a>"
TIG_MyParcel2014::Print Orientation,Print ori&euml;ntatie
TIG_MyParcel2014::Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
TIG_MyParcel2014::Enable test modus,Activeer test modus
TIG_MyParcel2014::Enable to test the extension,Activeer om test verzendingen te kunnen maken
TIG_MyParcel2014::Enable Myparcel Extension,Activeer MyParcel extensie
TIG_MyParcel2014::Enable or disable the MyParcel module.,Activeer of deactiveer de MyParcel extensie
TIG_MyParcel2014::Selecting 'No' will overrule all individual settings.,"Wanneer ""nee"" is geselecteerd worden alle individuele instellingen overruled."
TIG_MyParcel2014::General Settings,Algemene instellingen
TIG_MyParcel2014::API Key,API Key
TIG_MyParcel2014::The API Key given by MyParcel.,Stel hier de API key in die is ontvangen vanuit MyParcel
TIG_MyParcel2014::API Username,API Gebruikersnaam
TIG_MyParcel2014::Your MyParcel username.,Vul hier de gebruikersnaam in voor het MyParcel platform
TIG_MyParcel2014::To get your personal API credentials you should contact MyParcel.,Neem contact op met MyParcel om de API gegevens te ontvangen.
TIG_MyParcel2014::API settings,API Instellingen
TIG_MyParcel2014::Version &amp; Support,Versie &amp; Support
TIG_MyParcel2014::The log files cannot be downloaded.,De logbestanden kunnen niet gedownload worden.
TIG_MyParcel2014::An error occurred while processing this action.,Er is een fout opgetreden tijdens het verwerken van deze actie.
TIG_MyParcel2014::The shipments were successfully created.,De verzendingen zijn succesvol aangemaakt
TIG_MyParcel2014::None of the shipments could be created. Please check the error messages for more details.,Geen van de verzendingen konden aangemaakt worden. Controleer de foutmeldingen in de logbestanden voor details.
TIG_MyParcel2014::Please select one or more shipments.,Selecteer &eacute;&eacute;n of meerdere verzendingen.
TIG_MyParcel2014::Please select one or more orders.,Selecteer &eacute;&eacute;n of meerdere orders.
TIG_MyParcel2014::MyParcel replied with the following warnings:,MyParcel heeft geantwoord met de volgende waarschuwingen:
TIG_MyParcel2014::The following shipments or orders could not be processed:,De volgende verzendingen konden niet verwerkt worden:
TIG_MyParcel2014::Order #%s cannot be shipped at this time.,Order #%s kan niet verzonden worden op dit moment
TIG_MyParcel2014::Invalid full street supplied: %s.,Invalide volledige straatnaam opgegeven: %s
TIG_MyParcel2014::Invalid housnumber supplied: %s.,Invalide huisnummer opgegeven: %s
TIG_MyParcel2014::Invalid session requested.,Invalide sessie opgevraagd
TIG_MyParcel2014::Invalid message type requested: %s.,Invalide bericht-type opgevraagd: %s
TIG_MyParcel2014::No message supplied.,Geen bericht meegegeven
TIG_MyParcel2014::No message type supplied.,Geen bericht-type meegegeven
TIG_MyParcel2014::Click here for more information from the TiG knowledgebase.,Klik hier voor meer informatie van de TIG kennisbank.
TIG_MyParcel2014::An error occurred while processing your request: ,Er is een fout opgetreden tijdens het verwerken van dit verzoek:
TIG_MyParcel2014::The createConsignment action is currently unavailable.,De createConsigment actie is tijdelijk niet beschikbaar
TIG_MyParcel2014::Invalid createConsignment response.,Invalide createConsignment antwoord
TIG_MyParcel2014::Shipping status,Verzend status
TIG_MyParcel2014::MyParcel - Create Shipments,MyParcel - Cre&euml;er verzendingen
TIG_MyParcel2014::MyParcel - Print shipping labels,MyParcel - Print verzend labels
TIG_MyParcel2014::Download log files,Download log bestanden
TIG_MyParcel2014::Unknown rate type specified: %s.,Onbekend tarief type opgegeven: %s.
TIG_MyParcel2014::Flat,Plat
TIG_MyParcel2014::Table,Tabel
TIG_MyParcel2014::Invalid PakjeGemak address.,Invalide PakjeGemak adres.
TIG_MyParcel2014::Invalid phone number.,Invalide telefoonnummer.
TIG_MyParcel2014::Invalid housenumber extension.,Invalide huisnummer extensie.
TIG_MyParcel2014::A4,A4
TIG_MyParcel2014::A6,A6
TIG_MyParcel2014::Commercial Goods,Commerciele goederen
TIG_MyParcel2014::Commercial Sample,Commercieel Proef
TIG_MyParcel2014::Documents,Documenten
TIG_MyParcel2014::Gift,Gift
TIG_MyParcel2014::Returned Goods,Retour goederen
TIG_MyParcel2014::Yes,Ja
TIG_MyParcel2014::No,Nee
TIG_MyParcel2014::Myparcel Consignment Options,MyParcel Verzend Opties
TIG_MyParcel2014::Insured amount,Verzekerd bedrag
TIG_MyParcel2014::Insured,Verzekerd
TIG_MyParcel2014::MyParcel version %s,MyParcel versie %s
TIG_MyParcel2014::Magento &amp; 3rd party version compatibility,Magento &amp; derde partijen ondersteuning
TIG_MyParcel2014::Magento Community Edition version,Magento Community Edition versie
TIG_MyParcel2014::Magento Enterprise Edition version,Magento Enterprise Edition versie
TIG_MyParcel2014::Idev's OneStepCheckout version,Idev's OneStepCheckout versie
"TIG_MyParcel2014::If you wish to use this extension on an unsupported Magento version or edition, or in combination with an unsupported 3rd party extension, we cannot guarantee the MyParcel extension will function as expected. For questions please contact the Total Internet Group servicedesk.","Indien u de extensie wilt gebruiken op een niet-ondersteunde versie of editie van Magento, of als u de extensie wilt gebruiken samen met een 3rd party extensie die niet ondersteund wordt, kunnen wij niet garanderen dat de MyParcel extensie feilloos zal functioneren. Voor vragen kunt u contact opnemen met MyParcel."
TIG_MyParcel2014::Support,Ondersteuning
TIG_MyParcel2014::The extension is developed by Total Internet Group.,Deze extensie is ontwikkeld door Total Internet Group.
TIG_MyParcel2014::MyParcel account questions and information,MyParcel account vragen en informatie
"TIG_MyParcel2014::For questions related to your MyParcel account,please contact MyParcel.","Voor vragen gerelateerd aan uw MyParcel account, neemt u contact op met MyParcel."
TIG_MyParcel2014::Phone,Telefoon
TIG_MyParcel2014::Extension support and configuration questions,Extensie ondersteuning en configuratie vragen
"TIG_MyParcel2014::For configuration problems, extension conflicts and bugs contact Total Internet Group.","Voor configuratie problemen, extensie conflicten en bugs, neem contact op met Total Internet Group."
TIG_MyParcel2014::Online knowledgebase,Online kennisbank
TIG_MyParcel2014::Request help directly,Vraag direct hulp
TIG_MyParcel2014::Email,E-mail
TIG_MyParcel2014::Documentation,Documentatie
TIG_MyParcel2014::A list of documents regarding the extension.,Een lijst met document aangaande de extensie.
TIG_MyParcel2014::View the installation and configuration manual.,Bekijk de installatie en configuratie handleiding.
TIG_MyParcel2014::Installation and configuration manual,Installatie en configuratie handleiding
TIG_MyParcel2014::View the user manual.,Bekijk de gebruikers handleiding
TIG_MyParcel2014::User manual,Gebruikers handleiding
TIG_MyParcel2014::View the complete changelog of the extension.,Bekijk de volledige release notes van de extensie
TIG_MyParcel2014::Full changelog,Volledige release notes
TIG_MyParcel2014::MyParcel PgAddress class missing.,MyParcel PgAddress class mist
TIG_MyParcel2014::Select a transactional e-mail template to send the retourlink,Selecteer een transactionele e-mail template om de retourlink te verzenden.
TIG_MyParcel2014::Select a transactional e-mail template to send the barcode,Selecteer een transactionele e-mail template om de Track&amp;Trace code te versturen
TIG_MyParcel2014::You can create a new transactional e-mail where the variables {{var retourlink}} is available.,"Maak een transactionele e-mail aan, daarin zal de variabele {{var retourlink}} beschikbaar zijn om te retourlink te verzenden."
TIG_MyParcel2014::Unable to send track and trace email for shipment #,Versturen van track & trace e-mail mislukt voor zending #
TIG_MyParcel2014::Track&amp;Trace e-mail is send: %s,Track & Trace e-mail is verzonden: %s
TIG_MyParcel2014::Credit Consignment,Crediteer zending
TIG_MyParcel2014::Generate Retourlink,Genereer Retourlabel
TIG_MyParcel2014::Retourlink generated: %s,Retourlink aangemaakt: %s
"TIG_MyParcel2014::Credit has not been created, check MyParcel backend for details","Credit is niet aangemaakt, zie MyParcel backend voor meer informatie."
TIG_MyParcel2014::Consignment %s is credited at MyParcel,Zending %s is gecrediteerd bij MyParcel.
"TIG_MyParcel2014::If you do not use split street lines and you wish to ship to outside the EU, there is a strong possibility that MyParcel will be unable to properly parse the address. This may result in the shipment being refused or it may even lead to the shipment being delivered at the wrong address!","Als je adresgegevens niet opsplitst en je stuurt zendingen naar buiten de EU, dan is er een mogelijkheid dat MyParcel het adres niet kan omzetten. Dit kan leiden tot zendingen die geweigerd worden of zelfs niet afgeleverd kunnen worden."
TIG_MyParcel2014::Split street parts,Deel straatnaam velden op
TIG_MyParcel2014::Streetname field,Straatnaam veld
TIG_MyParcel2014::Housenr. field,Huisnummer veld
TIG_MyParcel2014::Split house number parts,Deel huisnummervelden op
TIG_MyParcel2014::Housenr. extension field,Huisnr. extensie veld
TIG_MyParcel2014::Street line #%s,Adresregel #%s
TIG_MyParcel2014::This will be added to the regular shipping price,Dit zal bij de normale verzendkosten worden opgeteld
TIG_MyParcel2014::Default shipment type for Cross Domestic shipments,Standaard verzend inhoud voor Cross Domestic verzendingen
"TIG_MyParcel2014::When changing the address, you need to cancel the current MyParcel shipment(s) linked to this order and create new MyParcel shipments.","Wanneer het adres gewijzigd wordt, bent u genoodzaakt om de gekoppelde MyParcel verzendingen te crediteren en nieuwe MyParcel verzendingen aan te maken."
"TIG_MyParcel2014::To download the instructions for the MyParcel  Magento extension, click <a target=""_blank"" href=""%s"">here</a>.","Klik <a target=""_blank"" href=""%s"">hier</a> om de handleiding van de MyParcel Magento extensie te downloaden."
TIG_MyParcel2014::When using the extension please note:,Aandachtspunten bij het gebruik van deze extensie:
TIG_MyParcel2014::To be able to configure the extension you need to possess and use an active MyParcel account.,U dient een actief MyParcel account te hebben om de extensie te kunnen configureren.
"TIG_MyParcel2014::During the transition phase the old Magento MyParcel extension can remain active. However, you do need to turn off PakjeGemak in the old MyParcel extension.",Indien u de oude MyParcel extensie gebruikt kan deze actief blijven in de overgangsfase. Wel dient u PakjeGemak in de oude MyParcel extensie uit te schakelen.
TIG_MyParcel2014::We cannot guarantee perfect functionality of the MyParcel extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact MyParcel.,"Indien u de extensie wilt gebruiken op een niet-ondersteunde versie of editie van Magento, of als u de extensie wilt gebruiken samen met een 3rd party extensie die niet ondersteund wordt, kunnen wij niet garanderen dat de MyParcel extensie feilloos zal functioneren. Voor vragen kunt u contact opnemen met MyParcel."
TIG_MyParcel2014::Installation and configuration instructions,Installatie en configuratie handleiding
TIG_MyParcel2014::Overview articles in knowledge base,Bekijk alle kennisbank artikelen
TIG_MyParcel2014::This extension has been developed by Total Internet Group.,Deze extensie is ontwikkeld door Total Internet Group.
TIG_MyParcel2014::Questions and information about your MyParcel account,MyParcel account vragen en informatie
"TIG_MyParcel2014::For configuration problems, extension conflicts or bugs, please contact Total Internet Group.","Voor configuratie problemen, extensie conflicten en bugs, neem contact op met Total Internet Group."
"TIG_MyParcel2014::Shipments will not be delivered at the neighbours, only on house address.","Zendingen worden niet bij de buren aangeboden, alleen op huisadres."
TIG_MyParcel2014::Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.,Zendingen gaan niet naar een afhaallocatie en komen direct retour na bezorgpogingen.
TIG_MyParcel2014::Unable to save check_status cron expression: %s,Het is niet gelukt om de check_status cron expressie op te slaan: %s
TIG_MyParcel2014::Some of the shipments could not be created or could not be created at MyParcel from the selected orders. See below for detailed information.,Een aantal van de geselecteerde orders is een foutmelding opgetreden tijdens het aanmaken van de verzending. Zie hieronder voor gedetailleerde informatie.
TIG_MyParcel2014::Select A4 print start position,Selecteer de A4 print start positie
"TIG_MyParcel2014::Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Vul de goederen code voor zendingen buiten de EU in, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de bestaande codes."